user_id,product_id,action
U1,B0BBFJFRT4,purchase
U1,B085RS5PWD,purchase
U1,B00R7FBJCE,purchase
U1,B01DNRS7FG,view
U1,B08FYJR5PL,view
U2,B09L4HPQB5,purchase
U2,B0BWRK4TJY,view
U2,B0B99B1VNL,purchase
U2,B00XN5EE24,purchase
U2,B01K6PBF0C,view
U2,B0B9H8BQJL,purchase
U2,B00E6FI6BK,purchase
U2,B01BBKZP2K,purchase
U2,B0C32MZ6XS,view
U2,B09XXKD5T1,purchase
U2,B01KK13W9Y,view
U2,B0BP7RJV6B,purchase
U2,B01LZ1EYE6,purchase
U2,B00NPMU7C6,purchase
U2,B09JTQRYJK,purchase
U2,B0BHPTN6P4,purchase
U3,B07GW9LGV4,view
U3,B0089VO7RY,purchase
U3,B0727RN5WG,view
U3,B07R9TL5SS,view
U3,B01HPC1OWI,view
U3,B005EODBJO,purchase
U3,B0BLJL1TVT,purchase
U3,B01C6GKZLO,purchase
U3,B0045VI322,purchase
U3,B08YNDKFPP,view
U3,B0BF5MQR2W,purchase
U3,B07G5T65JQ,view
U3,B0BYL42SVZ,purchase
U3,B09VQ3RMXL,purchase
U3,B01CEXN3TK,purchase
U4,B07VQY2CDX,view
U4,B00N16XQ7O,view
U4,B07K54N3NL,view
U4,B01525AVE2,view
U4,B0B2W5FXR3,view
U4,B08HJW3M2N,purchase
U4,B07R6GVB2J,purchase
U4,B01MZADK9R,view
U4,B0B2W3JPZC,purchase
U4,B0BGNT1FHS,view
U5,B086M576KG,purchase
U5,B0C7MJP3ZD,view
U5,B07ZQ8KQKK,view
U5,B08MZHNRP8,purchase
U5,B07VNXBZ2X,view
U5,B00A29WCA0,view
U5,B01BV1QZ28,view
U6,B09H6NRBLB,purchase
U6,B01DR8YTVW,view
U6,B01LQS1198,purchase
U6,B07T7R47SV,view
U6,B0BX4NGRZ2,view
U6,B0C579B85Q,view
U6,B00YS82EM2,view
U6,B07SNGZ2FR,view
U6,B0C65QCPDS,purchase
U6,B00LPX9NGS,view
U6,B01BZC262Q,purchase
U6,B01JYV46HS,view
U6,B00LEO4IYK,view
U6,B07X44GX9H,purchase
U7,B016JGIUHS,purchase
U7,B07KKK1M28,purchase
U7,B00RLE4T0U,purchase
U7,B083LBZX1F,purchase
U7,B07L49TJQ9,purchase
U7,B09PY73QHY,purchase
U7,B086DLDV69,purchase
U7,B00YDYZ7VQ,view
U7,B013VZE6XC,view
U7,B0BNBGKM7W,view
U7,B08FMN9BCR,view
U7,B01BDW8F3W,purchase
U7,B09GJXTRKM,view
U7,B0BWS183H9,view
U7,B07G7FVXWJ,view
U7,B0758ZYJ8Q,view
U7,B0BM5JMY7S,view
U7,B088WP41FT,purchase
U7,B0BQNZ995M,purchase
U7,B0798HCMCM,purchase
U8,B00MV9OV9E,view
U8,B084Q83K81,purchase
U8,B00OPYNZOK,purchase
U8,B08L6TT56T,view
U8,B00PWBPSNQ,view
U8,B00EPZEVYW,purchase
U8,B00NJEGGMK,purchase
U8,B095SBW4SV,view
U8,B00LVFTA36,view
U8,B0195YI4KY,view
U8,B08WNQ9N27,purchase
U8,B06XDYV3CQ,purchase
U8,B00ELHM08S,view
U8,B0BGPVJTD8,view
U8,B08Z364C6C,view
U9,B01E66SS5C,view
U9,B0BMWV1PYP,purchase
U9,B01BEJKIEI,purchase
U9,B01LZAYD8X,purchase
U9,B0BCH69C79,purchase
U9,B073RKMMY7,view
U9,B0967RWPRZ,purchase
U9,B07465DGRP,purchase
U9,B0169E9PII,view
U9,B083XQ7CPY,view
U9,B0C3Y4MYS6,purchase
U9,B00OUO3JVY,purchase
U9,B09QGNFZXK,purchase
U9,B00HFEBS8W,purchase
U9,B00JL3LZKQ,purchase
U9,B09DKFHKD1,view
U9,B09Z5P1BNQ,purchase
U9,B00JRGOKQ8,view
U10,B00KPCV9DU,purchase
U10,B0067WEX1M,view
U10,B08R73K8HQ,purchase
U10,B0178OFANW,view
U10,B06XXGNBZD,view
U10,B09Y516W8M,view
U10,B0823XXMH6,view
U10,B07KDTD9HG,purchase
U10,B00RLE4T0U,purchase
U10,B00U85FVH4,view
U10,B07FR3P8KD,purchase
U10,B09P37GHY6,purchase
U10,B08X4CLYLQ,view
U11,B0BHSHTCK2,view
U11,B014ELXS9U,view
U11,B00Z7SUZFU,view
U11,B0BNBFXNQY,purchase
U11,B0BP79FDTM,purchase
U11,B01DWB6YYY,purchase
U11,B09X8QWZFL,view
U11,B071DNHYZ8,view
U11,B01M25CR3N,view
U11,B01KA84SYK,purchase
U11,B07JH991NC,view
U11,B06Y1652H5,purchase
U11,B016DP66F8,view
U11,B01F8QNI6S,purchase
U11,B09XLD3P6V,view
U11,B0B71544LH,purchase
U11,B0BLHGT9XJ,purchase
U11,B0C3Y4MYS6,view
U12,B08973Z9XG,purchase
U12,B0CDPTCQVQ,purchase
U12,B01E6NZ37Q,view
U12,B01CLG9WRC,purchase
U12,B09MTLTZ8X,purchase
U12,B01LZX3VHN,purchase
U12,B0BQ1KRM9N,view
U12,B01BI94GNI,purchase
U12,B079KMSM9H,purchase
U12,B0BWLRWFBK,purchase
U12,B08X1DYC7P,view
U12,B075YW6414,purchase
U13,B07ZRKRFLW,purchase
U13,B07R9TJ3F4,view
U13,B0C3QWCWFN,view
U13,B07V7XF7HB,view
U13,B08XW5H8MH,view
U13,B0BB7BY1VB,view
U13,B0BDVWB69X,purchase
U14,B07FR3P8KD,purchase
U14,B07C2PX7PW,view
U14,B00VPDB974,purchase
U14,B00OHK9XSO,view
U14,B016IPGNTW,purchase
U14,B07P9PJHYH,view
U14,B09V7CV22D,view
U14,B07G2WT6TD,purchase
U14,B0BV2P735M,view
U14,B0C1S6K2F2,view
U14,B074Q4JVWN,purchase
U14,B006X6EPII,view
U14,B01J36AD0S,purchase
U14,B07HCD7B7H,purchase
U14,B0B82C5BYG,view
U14,B0B1HTM9QT,view
U14,B09YNGHL14,view
U14,B09CPWGV54,purchase
U15,B019EEGNHG,view
U15,B00R35XRS2,purchase
U15,B01DJJDQEK,view
U15,B0776WXPHM,purchase
U15,B0B1JLT7G5,view
U15,B01NCLAOX4,view
U15,B0BSLH1GV1,purchase
U15,B08MZHNRP8,view
U15,B0BW8DY15Z,purchase
U15,B08R5XPGX9,view
U15,B01GIUICPK,purchase
U15,B0BQ2QK4K4,purchase
U15,B0BKL87925,purchase
U15,B01C308QK0,purchase
U15,B08SHS7F3X,view
U15,B014K4LOXS,view
U15,B00EQAIPH0,view
U15,B0B7FFRVLD,purchase
U15,B08K4F95YQ,purchase
U15,B00DH4VB6I,view
